Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Scat_n_Tot,Scat_n_Prey,Abs_FO,Rel_FO,Mean_Perc_Vol,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,BM_Equiv,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Timepoint,Period,Cons_Season,A_C_Code,A_Code,Avail_Season,n_Avail_Season_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pred_Tot_n,Pred_Larger_n,Pred_Smaller_n,Pop_Scale
,Guimarães 2022,Muráň Plateau NP,600,Cattle,Bos taurus,Bos taurus,3517,,,5.862,,,613,,,114,0,0,0,,,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22MRP,MRP,7,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Sheep,Ovis aries,Ovis aries,7034,,,11.724,,,34.2,,,114,2,1.754385965,1.7,,,0.018,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22MRP,MRP,7,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Goat,Capra hircus,Capra hircus,511,,,0.852,,,46.9,,,114,0,0,0,,,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22MRP,MRP,7,2,1,1,POP
,Guimarães 2022,Muráň Plateau NP,600,Horse,,Equus caballus,50,,,0.08333333333,,,400,,,114,0,0,0,,,0,,Livestock,,,,,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22MRP,MRP,7,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Red deer,Cervus elaphus,Cervus elaphus,201,,,1.447,,,240,,,43,41,95.34883721,89.1,,,0.957,,Wild,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22PNP,PNP,7,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Roe deer,Capreolus capreolus,Capreolus capreolus,275,,,1.984,,,22.4,,,43,1,2.325581395,2.2,,,0.004,,Wild,,,small and agile. Less negatively affected by snow than wild boar.,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22PNP,PNP,7,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Wild boar,Sus scrofa,Sus scrofa,102,,,0.7398,,,84.5,,,43,4,9.302325581,8.7,,,0.039,,Wild,,,assumed to be more negatively affected by snow depth that roe deer due to smaller body size and greater hindrance of mobility,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22PNP,PNP,7,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,European bison,Bison bonasus,Bison bonasus,40,,,0.32,,,673,,,43,0,0,0,,,0,,Wild,,,,,,Winter 2015-2017,MWI,P-3-3,CNT,MSP,3,T,3,GUS22PNP,PNP,7,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Cattle,Bos taurus,Bos taurus,655,,,5.24,,,613,,,43,0,0,0,,,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22PNP,PNP,7,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Sheep,Ovis aries,Ovis aries,434,,,3.472,,,34.2,,,43,0,0,0,,,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22PNP,PNP,7,2,1,1,POP
,Guimarães 2022,Poloniny NP,125,Goat,Capra hircus,Capra hircus,70,,,0.557,,,46.9,,,43,0,0,0,,,0,,Livestock,,,"grazed extensively on mountains while watched by sheperds and guard dogs fromm Apr-Nov, but are brought into barns for the winter in december and are thus ususally not available to wolves. ",,,Winter 2015-2017,MWI,P-3-3,GSO,MYR,3,T,3,GUS22PNP,PNP,7,2,1,1,POP
"also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Persian gazelle,Gazella subgutturosa,Gazella subgutturosa,2400,,,2.123893805,27.5,,26.7,58.40707965,0.1088749588,132,41,31,,,,0.27,33,Wild,,,,,,July 2007-April 2009,MYR,P-1-2,GSO,U,1,T,2,HOI13GHA,GHA,4,3,1,2,POP
"Ovis orientalis and Ovis gmellini aren't in PanTheria database so domestic sheep weight was used. also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Esfahan wild sheep,Ovis orientalis,Ovis aries orientalis,2400,,,2.123893805,34,,34.2,72.21238938,0.1346090399,132,23,17,,,,0.159,17,Wild,,,,,,July 2007-April 2009,MYR,P-1-2,GSO,U,1,T,2,HOI13GHA,GHA,4,3,1,2,POP
"Capra aegragus is not in PanTheria so Capra hircus was used. also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Persian wild goat,Capra aegagrus,Capra hircus aegagrus,100,,,0.08849557522,36.0,,46.9,3.185840708,0.005938634114,132,12,1,,,,0.092,9.5,Wild,,,,,,July 2007-April 2009,MYR,P-1-2,GSO,U,1,T,2,HOI13GHA,GHA,4,3,1,2,POP
"also has corrected Abs FO for ""corrected no. of prey items"". Also had individuals consumed, which may just be the minimum number of kills extrapolated from mass in scat?",Hosseini-Zavarei 2013,Ghamishlou,1130,Domestic sheep and goat,Ovis aries and Capra hircus,Capra hircus and Ovis aries,13000,,,11.50442478,35,,34.2,402.6548673,0.7505773672,132,60,45,,,,0.471,49.5,Livestock,Guarded,,"13000 in 30 herds. 65% sheep, the rest goat). Allowed to graze in pastures in the Wildlife Refuge for a 100-day period in winter (January–March), but are not allowed to enter the National Park. Guarded by herd dogs (""similar in size to an adult wolf"") during day. Return to corrals at night",,,July 2007-April 2009,MYR,P-2-2,U,U,2,T,2,HOI13GHA,GHA,4,3,1,2,POP
Period it technically over a year but less than 1.5 years so RB decided to enter it as 1 year in n_C_Points,Janeiro-Otero 2022,Serra do Cando,54.58,Roe deer,Capreolus capreolus,Capreolus capreolus,4,,,0.07,24,Average adult (source unknown),22.4,1.68,0.00012455427,47,0,0,,,0,0,,Wild,,,,,,Dec 2017-Mar 2019,SYR,A,HH,U,1,GRID + T,1,JAO22SCO,SCO,7,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Cando,54.58,Wild boar,Sus scrofa,Sus scrofa,35,,,0.64,67,Average adult (source unknown),84.5,42.88,0.003179099462,47,10,21.28,,,9.75,0.0774,,Wild,,,,,,Dec 2017-Mar 2019,SYR,A,HH,U,1,GRID + T,1,JAO22SCO,SCO,7,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Cando,54.58,Galician feral horses,Equus ferus atlanticus,Equus caballus,498,,,9.124221326,300,Average adult (source unknown),400,2737.266398,0.2029394154,47,38,85.65,,,107.88,0.8422,,Feral,,,,,,Dec 2017-Mar 2019,SYR,,E,U,1,GRID + T,1,JAO22SCO,SCO,7,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Cando,54.58,Goat,Capra hircus,Capra hircus,1,,,0.02,28.5,Average adult (source unknown),46.9,0.57,0.00004225948445,47,0,0,,,0,0,,Livestock,,,Left in barns overnight,,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22SCO,SCO,7,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Cando,54.58,Cattle,Bos taurus,Bos taurus,928,,,17,600,Average adult (source unknown),613,10200,0.7562223533,47,1,2.13,,,5.24,0.0416,,Livestock,,,Left unattended for long periods to graze freely,,,Dec 2017-Mar 2019,SYR,A,GSO,U,1,GRID + T,1,JAO22SCO,SCO,7,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Cando,54.58,Sheep,Ovis aries,Ovis aries,11,,,0.2,28.5,Average adult (source unknown),34.2,5.7,0.0004225948445,47,0,0,,,0,0,,Livestock,,,Left in barns overnight,,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22SCO,SCO,7,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Cando,54.58,Pig,Sus domestica,Sus scrofa scrofa,109,,,2,250,Average adult (source unknown),84.5,500,0.0370697232,47,0,0,,,0,0,,Livestock,,,"Live ones are inaccessible, but carcasses dumped are accessible ",,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22SCO,SCO,7,UK,UK,UK,PACK
Period it technically over a year but less than 1.5 years so RB decided to enter it as 1 year in n_C_Points,Janeiro-Otero 2022,Serra do Candán,106.83,Roe deer,Capreolus capreolus,Capreolus capreolus,4,,,0.04,24,Average adult (source unknown),22.4,0.96,0.00002467131258,49,7,14.29,,,4.42,0.0341,,Wild,,,,,,Dec 2017-Mar 2019,SYR,A,HH,U,1,GRID + T,1,JAO22SCN,SCN,6,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Candán,106.83,Wild boar,Sus scrofa,Sus scrofa,52,,,0.49,67,Average adult (source unknown),84.5,32.83,0.0008437074918,49,13,26.53,,,12.68,0.0977,,Wild,,,,,,Dec 2017-Mar 2019,SYR,A,HH,U,1,GRID + T,1,JAO22SCN,SCN,6,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Candán,106.83,Goat,Capra hircus,Capra hircus,11,,,0.1,28.5,Average adult (source unknown),46.9,2.85,0.00007324295923,49,3,6.12,,,2,0.0154,,Livestock,,,Left in barns overnight,,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22SCN,SCN,6,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Candán,106.83,Cattle,Bos taurus,Bos taurus,5641,,,52.8,600,Average adult (source unknown),613,31680,0.8141533152,49,19,38.78,,,99.54,0.7674,,Livestock,,,Left unattended for long periods to graze freely,,,Dec 2017-Mar 2019,SYR,A,GSO,U,1,GRID + T,1,JAO22SCN,SCN,6,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Candán,106.83,Sheep,Ovis aries,Ovis aries,75,,,0.7,28.5,Average adult (source unknown),34.2,19.95,0.0005127007146,49,4,8.16,,,2.67,0.026,,Livestock,,,Left in barns overnight,,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22SCN,SCN,6,UK,UK,UK,PACK
,Janeiro-Otero 2022,Serra do Candán,106.83,Pig,Sus domestica,Sus scrofa scrofa,3066,,,28.7,250,Average adult (source unknown),84.5,7175,0.1843923623,49,2,4.08,,,4.88,0.376,,Livestock,,,"Live ones are inaccessible, but carcasses dumped are accessible ",,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22SCN,SCN,6,UK,UK,UK,PACK
Period it technically over a year but less than 1.5 years so RB decided to enter it as 1 year in n_C_Points,Janeiro-Otero 2022,Estacas,14.05,Roe deer,Capreolus capreolus,Capreolus capreolus,1,,,0.05,24,Average adult (source unknown),22.4,1.2,0.0002113787554,24,0,0,,,0,0,,Wild,,,,,,Dec 2017-Mar 2019,SYR,A,HH,U,1,GRID + T,1,JAO22EST,EST,7,UK,UK,UK,PACK
,Janeiro-Otero 2022,Estacas,14.05,Wild boar,Sus scrofa,Sus scrofa,9,,,0.64,67,Average adult (source unknown),84.5,42.88,0.007553267525,24,4,16.67,,,3.9,0.0757,,Wild,,,,,,Dec 2017-Mar 2019,SYR,A,HH,U,1,GRID + T,1,JAO22EST,EST,7,UK,UK,UK,PACK
2017 there were 25 horses and then 11 additional horses were relocated to the study area in 2018,Janeiro-Otero 2022,Estacas,14.05,Galician feral horse,Equus ferus atlanticus,Equus caballus,36,,,2.56227758,300,Average adult (source unknown),400,768.683274,0.1354027614,24,14,58.33,,,39.75,0.7712,,Feral,,,,,,Dec 2017-Mar 2019,SYR,A,FARM,U,1,GRID + T,1,JAO22EST,EST,7,UK,UK,UK,PACK
,Janeiro-Otero 2022,Estacas,14.05,Goat,Capra hircus,Capra hircus,1,,,0.1,28.5,Average adult (source unknown),46.9,2.85,0.000502024544,24,2,8.33,,,1.33,0.0259,,Livestock,,,Left in barns overnight,,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22EST,EST,7,UK,UK,UK,PACK
,Janeiro-Otero 2022,Estacas,14.05,Cattle,Bos taurus,Bos taurus,112,,,8,600,Average adult (source unknown),613,4800,0.8455150214,24,1,4.17,,,5.24,0.1017,,Livestock,,,Left unattended for long periods to graze freely,,,Dec 2017-Mar 2019,SYR,A,GSO,U,1,GRID + T,1,JAO22EST,EST,7,UK,UK,UK,PACK
,Janeiro-Otero 2022,Estacas,14.05,Sheep,Ovis aries,Ovis aries,6,,,0.4,28.5,Average adult (source unknown),34.2,11.4,0.002008098176,24,0,0,,,0,0,,Livestock,,,Left in barns overnight,,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22EST,EST,7,UK,UK,UK,PACK
,Janeiro-Otero 2022,Estacas,14.05,Pig,Sus domestica,Sus scrofa scrofa,3,,,0.2,250,Average adult (source unknown),84.5,50,0.00880744814,24,0,0,,,0,0,,Livestock,,,"Live ones are inaccessible, but carcasses dumped are accessible ",,,Dec 2017-Mar 2019,SYR,E-8-1,GSO,U,1,GRID + T,1,JAO22EST,EST,7,UK,UK,UK,PACK
,Jędrzejewski 2012,1. Skaliskie Forest,200,Moose,Alces alces,Alces alces,,,0.02,,,,481,,,40,,,,,,0,,Wild,,,,,,1999-2004,,,,,,,,JEI12SLF,SLF,4,1,0,1,POP
,Jędrzejewski 2012,1. Skaliskie Forest,200,Red deer,Cervus elaphus,Cervus elaphus,,,0.15,,,,240,,,40,,,,,,0,,Wild,,,,,,1999-2004,,,,,,,,JEI12SLF,SLF,4,1,0,1,POP
,Jędrzejewski 2012,1. Skaliskie Forest,200,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.59,,,,22.4,,,40,,,,,,0.429,,Wild,,,,,,1999-2004,,,,,,,,JEI12SLF,SLF,4,1,0,1,POP
,Jędrzejewski 2012,1. Skaliskie Forest,200,Wild boar,Sus scrofa,Sus scrofa,,,0.24,,,,84.5,,,40,,,,,,0.312,,Wild,,,,,,1999-2004,,,,,,,,JEI12SLF,SLF,4,1,0,1,POP
,Jędrzejewski 2012,2.  Rominta Forest,170,Moose,Alces alces,Alces alces,,,0.05,,,,481,,,84,,,,,,0,,Wild,,,,,,1999-2004,,,,,,,,JEI12RMF,RMF,4,1,0,1,POP
,Jędrzejewski 2012,2.  Rominta Forest,170,Red deer,Cervus elaphus,Cervus elaphus,,,0.37,,,,240,,,84,,,,,,0.086,,Wild,,,,,,1999-2004,,,,,,,,JEI12RMF,RMF,4,1,0,1,POP
,Jędrzejewski 2012,2.  Rominta Forest,170,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.3,,,,22.4,,,84,,,,,,0.275,,Wild,,,,,,1999-2004,,,,,,,,JEI12RMF,RMF,4,1,0,1,POP
,Jędrzejewski 2012,2.  Rominta Forest,170,Wild boar,Sus scrofa,Sus scrofa,,,0.28,,,,84.5,,,84,,,,,,0.105,,Wild,,,,,,1999-2004,,,,,,,,JEI12RMF,RMF,4,1,0,1,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Moose,Alces alces,Alces alces,,,0.003,,,,481,,,72,,,,,,0,,Wild,,,,,,1998-2003,,,,,,,,JEI12PZF,PZF,4,1,0,1,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Red deer,Cervus elaphus,Cervus elaphus,,,0.348,,,,240,,,72,,,,,,0.062,,Wild,,,,,,1998-2003,,,,,,,,JEI12PZF,PZF,4,1,0,1,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.532,,,,22.4,,,72,,,,,,0.604,,Wild,,,,,,1998-2003,,,,,,,,JEI12PZF,PZF,4,1,0,1,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Wild boar,Sus scrofa,Sus scrofa,,,0.117,,,,84.5,,,72,,,,,,0.068,,Wild,,,,,,1998-2003,,,,,,,,JEI12PZF,PZF,4,1,0,1,POP
prop individuals was reported as <0.001,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Moose,Alces alces,Alces alces,,,0.0009,,,,481,,,63,,,,,,0,,Wild,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,1,0,1,POP
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Red deer,Cervus elaphus,Cervus elaphus,,,0.269,,,,240,,,63,,,,,,0.013,,Wild,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,1,0,1,POP
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.553,,,,22.4,,,63,,,,,,0.38,,Wild,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,1,0,1,POP
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Wild boar,Sus scrofa,Sus scrofa,,,0.178,,,,84.5,,,63,,,,,,0.094,,Wild,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,1,0,1,POP
,Jędrzejewski 2012,5.  Augustów Forest,1350,Moose,Alces alces,Alces alces,,,,,,,481,,,373,,,,,,0,,Wild,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,1,0,1,POP
,Jędrzejewski 2012,5.  Augustów Forest,1350,Red deer,Cervus elaphus,Cervus elaphus,,,,,,,240,,,373,,,,,,0.3021045576,,Wild,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,1,0,1,POP
,Jędrzejewski 2012,5.  Augustów Forest,1350,Roe deer,Capreolus capreolus,Capreolus capreolus,,,,,,,22.4,,,373,,,,,,0.2372734584,,Wild,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,1,0,1,POP
,Jędrzejewski 2012,5.  Augustów Forest,1350,Wild boar,Sus scrofa,Sus scrofa,,,,,,,84.5,,,373,,,,,,0.1405013405,,Wild,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,1,0,1,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Moose,Alces alces,Alces alces,,,0.235,,,,481,,,48,,,,,,0.148,,Wild,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,1,0,1,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Red deer,Cervus elaphus,Cervus elaphus,,,0.203,,,,240,,,48,,,,,,0.102,,Wild,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,1,0,1,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.375,,,,22.4,,,48,,,,,,0.419,,Wild,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,1,0,1,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Wild boar,Sus scrofa,Sus scrofa,,,0.187,,,,84.5,,,48,,,,,,0,,Wild,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,1,0,1,POP
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Moose,Alces alces,Alces alces,,,0.016,,,,481,,,53,,,,,,0,,Wild,,,,,,2000-2002,,,,,,,,JEI12KSF,KSF,5,1,0,1,POP
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Red deer,Cervus elaphus,Cervus elaphus,,,0.216,,,,240,,,53,,,,,,0.159,,Wild,,,,,,2000-2002,,,,,,,,JEI12KSF,KSF,5,1,0,1,POP
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.538,,,,22.4,,,53,,,,,,0.306,,Wild,,,,,,2000-2002,,,,,,,,JEI12KSF,KSF,5,1,0,1,POP
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Wild boar,Sus scrofa,Sus scrofa,,,0.227,,,,84.5,,,53,,,,,,0.156,,Wild,,,,,,2000-2002,,,,,,,,JEI12KSF,KSF,5,1,0,1,POP
,Jędrzejewski 2012,7.  Knyszyn Forest,1500,Bison,Bison bonasus,Bison bonasus,,,0.003,,,,673,,,53,,,,,,0,,Wild,,,,,,2000-2002,,,,,,,,JEI12KSF,KSF,5,1,0,1,POP
,Jędrzejewski 2012,9.  Sobibór Forest,1910,Moose,Alces alces,Alces alces,,,0.029,,,,481,,,59,,,,,,0,,Wild,,,,,,2000-2005,,,,,,,,JEI12SBF,SBF,4,1,0,1,POP
,Jędrzejewski 2012,9.  Sobibór Forest,1910,Red deer,Cervus elaphus,Cervus elaphus,,,0.134,,,,240,,,59,,,,,,0.358,,Wild,,,,,,2000-2005,,,,,,,,JEI12SBF,SBF,4,1,0,1,POP
,Jędrzejewski 2012,9.  Sobibór Forest,1910,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.66,,,,22.4,,,59,,,,,,0.572,,Wild,,,,,,2000-2005,,,,,,,,JEI12SBF,SBF,4,1,0,1,POP
,Jędrzejewski 2012,9.  Sobibór Forest,1910,Wild boar,Sus scrofa,Sus scrofa,,,0.177,,,,84.5,,,59,,,,,,0.016,,Wild,,,,,,2000-2005,,,,,,,,JEI12SBF,SBF,4,1,0,1,POP
,Jędrzejewski 2012,10. Roztocze,8590,Moose,Alces alces,Alces alces,,,0.003,,,,481,,,84,,,,,,0,,Wild,,,,,,2000-2003,,,,,,,,JEI12RAS-R,RAS-R,4,1,0,1,POP
,Jędrzejewski 2012,10. Roztocze,8590,Red deer,Cervus elaphus,Cervus elaphus,,,0.24,,,,240,,,84,,,,,,0.195,,Wild,,,,,,2000-2003,,,,,,,,JEI12RAS-R,RAS-R,4,1,0,1,POP
,Jędrzejewski 2012,10. Roztocze,8590,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.647,,,,22.4,,,84,,,,,,0.577,,Wild,,,,,,2000-2003,,,,,,,,JEI12RAS-R,RAS-R,4,1,0,1,POP
,Jędrzejewski 2012,10. Roztocze,8590,Wild boar,Sus scrofa,Sus scrofa,,,0.11,,,,84.5,,,84,,,,,,0.058,,Wild,,,,,,2000-2003,,,,,,,,JEI12RAS-R,RAS-R,4,1,0,1,POP
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Moose,Alces alces,Alces alces,,,0,,,,481,,,87,,,,,,0,,Wild,,,,,,1998-2005,,,,,,,,JEI12BZM,BZM,4,2,1,1,POP
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Red deer,Cervus elaphus,Cervus elaphus,,,0.533,,,,240,,,87,,,,,,0.442,,Wild,,,,,,1998-2005,,,,,,,,JEI12BZM,BZM,4,2,1,1,POP
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.405,,,,22.4,,,87,,,,,,0.266,,Wild,,,,,,1998-2005,,,,,,,,JEI12BZM,BZM,4,2,1,1,POP
,Jędrzejewski 2012,11.  Bieszczady Mountains,780,Wild boar,Sus scrofa,Sus scrofa,,,0.062,,,,84.5,,,87,,,,,,0.151,,Wild,,,,,,1998-2005,,,,,,,,JEI12BZM,BZM,4,2,1,1,POP
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Moose,Alces alces,Alces alces,,,0,,,,481,,,390,,,,,,0,,Wild,,,,,,1997-2001,,,,,,,,JEI12WBM,WBM,4,2,1,1,POP
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Red deer,Cervus elaphus,Cervus elaphus,,,0.21,,,,240,,,390,,,,,,0.422,,Wild,,,,,,1997-2001,,,,,,,,JEI12WBM,WBM,4,2,1,1,POP
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.74,,,,22.4,,,390,,,,,,0.325,,Wild,,,,,,1997-2001,,,,,,,,JEI12WBM,WBM,4,2,1,1,POP
,Jędrzejewski 2012,13.  Western Beskidy Mountains,1410,Wild boar,Sus scrofa,Sus scrofa,,,0.05,,,,84.5,,,390,,,,,,0.042,,Wild,,,,,,1997-2001,,,,,,,,JEI12WBM,WBM,4,2,1,1,POP
,Klich 2021,Grodno,NR,Wild boar,Sus scrofa,Sus scrofa,,,,,,,84.5,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,UK,UK,UK,
,Klich 2021,Grodno,NR,Elk,Alces alces,Alces alces,,,,,,,481,,,,,,,,,,,Wild,,,"""show various behavioral adaptations to the presence of wolves, including increased vigilance and aggressive behavior towards predators""",,,,,,,,,,,,,,UK,UK,UK,
,Klich 2021,Grodno,NR,Red deer,Cervus elaphus,Cervus elaphus,,,,,,,240,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,UK,UK,UK,
,Klich 2021,Grodno,NR,Roe deer,Capreolus capreolus,Capreolus capreolus,,,,,,,22.4,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,UK,UK,UK,
,Klich 2021,Grodno,NR,Beaver,Not given,Castor fiber,,,,,,,19,,,,,,,,,,,Wild,,,"Spend more time on land in the spring and autumn, making them more vulnerable to predation during these times. "" Beavers can be attractive prey for lone wolves or small packs, because they are an easier food source compared to ungulates [62,63].""",,,,,,,,,,,,,,UK,UK,UK,
,Klich 2021,Vitebsk,NR,Wild boar,Sus scrofa,Sus scrofa,,,,,,,84.5,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,UK,UK,UK,
,Klich 2021,Vitebsk,NR,Elk,Alces alces,Alces alces,,,,,,,481,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,UK,UK,UK,
,Klich 2021,Vitebsk,NR,Red deer,Cervus elaphus,Cervus elaphus,,,,,,,240,,,,,,,,,,,Wild,,,"""show various behavioral adaptations to the presence of wolves, including increased vigilance and aggressive behavior towards predators""",,,,,,,,,,,,,,UK,UK,UK,
,Klich 2021,Vitebsk,NR,Roe deer,Capreolus capreolus,Capreolus capreolus,,,,,,,22.4,,,,,,,,,,,Wild,,,,,,,,,,,,,,,,,UK,UK,UK,
,Klich 2021,Vitebsk,NR,Beaver,Not given,Castor fiber,,,,,,,19,,,,,,,,,,,Wild,,,"Spend more time on land in the spring and autumn, making them more vulnerable to predation during these times. "" Beavers can be attractive prey for lone wolves or small packs, because they are an easier food source compared to ungulates [62,63].""",,,,,,,,,,,,,,UK,UK,UK,
